PRODUCT,DESC_1,qty net,Date Facture,
50,Hamburger 8,372,1/3/14,
50,Hamburger 8,531,1/4/14,
50,Hamburger 8,443,1/7/14,
50,Hamburger 8,268,1/8/14,
50,Hamburger 8,423,1/9/14,
50,Hamburger 8,451,1/10/14,
50,Hamburger 8,683,1/11/14,
50,Hamburger 8,430,1/14/14,
50,Hamburger 8,247,1/15/14,
50,Hamburger 8,389,1/16/14,
50,Hamburger 8,413,1/17/14,
50,Hamburger 8,635,1/18/14,
50,Hamburger 8,369,1/21/14,
50,Hamburger 8,260,1/22/14,
50,Hamburger 8,350,1/23/14,
50,Hamburger 8,382,1/24/14,
50,Hamburger 8,595,1/25/14,
50,Hamburger 8,1,1/27/14,
50,Hamburger 8,345,1/28/14,
50,Hamburger 8,284,1/29/14,
50,Hamburger 8,324,1/30/14,
50,Hamburger 8,373,1/31/14,
50,Hamburger 8,594,2/1/14,
50,Hamburger 8,409,2/4/14,
50,Hamburger 8,202,2/5/14,
50,Hamburger 8,400,2/6/14,
50,Hamburger 8,425,2/7/14,
50,Hamburger 8,615,2/8/14,
50,Hamburger 8,0,2/10/14,
50,Hamburger 8,455,2/11/14,
50,Hamburger 8,257,2/12/14,
50,Hamburger 8,442,2/13/14,
50,Hamburger 8,383,2/14/14,
50,Hamburger 8,615,2/15/14,
50,Hamburger 8,365,2/18/14,
50,Hamburger 8,331,2/19/14,
50,Hamburger 8,420,2/20/14,
50,Hamburger 8,449,2/21/14,
50,Hamburger 8,633,2/22/14,
50,Hamburger 8,475,2/25/14,
50,Hamburger 8,299,2/26/14,
50,Hamburger 8,425,2/27/14,
50,Hamburger 8,436,2/28/14,
50,Hamburger 8,701,3/1/14,
50,Hamburger 8,414,3/4/14,
50,Hamburger 8,271,3/5/14,
50,Hamburger 8,402,3/6/14,
50,Hamburger 8,499,3/7/14,
50,Hamburger 8,727,3/8/14,
50,Hamburger 8,524,3/11/14,
50,Hamburger 8,262,3/12/14,
50,Hamburger 8,439,3/13/14,
50,Hamburger 8,433,3/14/14,
50,Hamburger 8,688,3/15/14,
50,Hamburger 8,468,3/18/14,
50,Hamburger 8,280,3/19/14,
50,Hamburger 8,452,3/20/14,
50,Hamburger 8,467,3/21/14,
50,Hamburger 8,664,3/22/14,
50,Hamburger 8,467,3/25/14,
50,Hamburger 8,304,3/26/14,
50,Hamburger 8,514,3/27/14,
50,Hamburger 8,575,3/28/14,
50,Hamburger 8,779,3/29/14,
50,Hamburger 8,507,4/1/14,
50,Hamburger 8,330,4/2/14,
50,Hamburger 8,574,4/3/14,
50,Hamburger 8,533,4/4/14,
50,Hamburger 8,803,4/5/14,
50,Hamburger 8,549,4/8/14,
