PRODUCT,DESC_1,Qty net,DATE_DELIV,
50,Hamburger 8,464,1/2/15,
50,Hamburger 8,676,1/3/15,
50,Hamburger 8,522,1/6/15,
50,Hamburger 8,307,1/7/15,
50,Hamburger 8,409,1/8/15,
50,Hamburger 8,453,1/9/15,
50,Hamburger 8,622,1/10/15,
50,Hamburger 8,9,1/12/15,
50,Hamburger 8,488,1/13/15,
50,Hamburger 8,283,1/14/15,
50,Hamburger 8,418,1/15/15,
50,Hamburger 8,414,1/16/15,
50,Hamburger 8,636,1/17/15,
50,Hamburger 8,432,1/20/15,
50,Hamburger 8,256,1/21/15,
50,Hamburger 8,422,1/22/15,
50,Hamburger 8,479,1/23/15,
50,Hamburger 8,616,1/24/15,
50,Hamburger 8,486,1/27/15,
50,Hamburger 8,295,1/28/15,
50,Hamburger 8,396,1/29/15,
50,Hamburger 8,480,1/30/15,
50,Hamburger 8,627,1/31/15,
50,Hamburger 8,436,2/3/15,
50,Hamburger 8,303,2/4/15,
50,Hamburger 8,428,2/5/15,
50,Hamburger 8,543,2/6/15,
50,Hamburger 8,681,2/7/15,
50,Hamburger 8,4,2/9/15,
50,Hamburger 8,527,2/10/15,
50,Hamburger 8,306,2/11/15,
50,Hamburger 8,374,2/12/15,
50,Hamburger 8,617,2/13/15,
50,Hamburger 8,649,2/14/15,
50,Hamburger 8,448,2/17/15,
50,Hamburger 8,343,2/18/15,
50,Hamburger 8,403,2/19/15,
50,Hamburger 8,517,2/20/15,
50,Hamburger 8,689,2/21/15,
50,Hamburger 8,588,2/24/15,
50,Hamburger 8,400,2/25/15,
50,Hamburger 8,417,2/26/15,
50,Hamburger 8,650,2/27/15,
50,Hamburger 8,736,2/28/15,
50,Hamburger 8,599,3/3/15,
50,Hamburger 8,340,3/4/15,
50,Hamburger 8,589,3/5/15,
50,Hamburger 8,667,3/6/15,
50,Hamburger 8,770,3/7/15,
50,Hamburger 8,695,3/10/15,
50,Hamburger 8,344,3/11/15,
50,Hamburger 8,553,3/12/15,
50,Hamburger 8,692,3/13/15,
50,Hamburger 8,871,3/14/15,
50,Hamburger 8,7,3/16/15,
50,Hamburger 8,662,3/17/15,
50,Hamburger 8,349,3/18/15,
50,Hamburger 8,419,3/19/15,
50,Hamburger 8,724,3/20/15,
50,Hamburger 8,805,3/21/15,
50,Hamburger 8,616,3/24/15,
50,Hamburger 8,323,3/25/15,
50,Hamburger 8,575,3/26/15,
50,Hamburger 8,650,3/27/15,
50,Hamburger 8,794,3/28/15,
50,Hamburger 8,8,3/29/15,
50,Hamburger 8,6,3/30/15,
50,Hamburger 8,356,3/31/15,
50,Hamburger 8,415,4/1/15,
50,Hamburger 8,677,4/2/15,
50,Hamburger 8,57,4/3/15,
50,Hamburger 8,1019,4/4/15,
50,Hamburger 8,1,4/6/15,
50,Hamburger 8,802,4/7/15,
50,Hamburger 8,377,4/8/15,
50,Hamburger 8,645,4/9/15,
50,Hamburger 8,940,4/10/15,
50,Hamburger 8,1211,4/11/15,
50,Hamburger 8,18,4/13/15,
50,Hamburger 8,971,4/14/15,
50,Hamburger 8,559,4/15/15,
50,Hamburger 8,997,4/16/15,
50,Hamburger 8,1430,4/17/15,
50,Hamburger 8,1511,4/18/15,
50,Hamburger 8,16,4/20/15,
50,Hamburger 8,1154,4/21/15,
50,Hamburger 8,606,4/22/15,
50,Hamburger 8,850,4/23/15,
50,Hamburger 8,1343,4/24/15,
50,Hamburger 8,1809,4/25/15,
50,Hamburger 8,45,4/27/15,
50,Hamburger 8,994,4/28/15,
50,Hamburger 8,628,4/29/15,
50,Hamburger 8,937,4/30/15,
50,Hamburger 8,1254,5/1/15,
50,Hamburger 8,2020,5/2/15,
50,Hamburger 8,-162,5/4/15,
50,Hamburger 8,1368,5/5/15,
50,Hamburger 8,644,5/6/15,
50,Hamburger 8,1045,5/7/15,
50,Hamburger 8,840,5/8/15,
50,Hamburger 8,1786,5/9/15,
50,Hamburger 8,20,5/11/15,
50,Hamburger 8,1250,5/12/15,
50,Hamburger 8,727,5/13/15,
50,Hamburger 8,1063,5/14/15,
50,Hamburger 8,1628,5/15/15,
50,Hamburger 8,1625,5/16/15,
50,Hamburger 8,932,5/19/15,
50,Hamburger 8,519,5/20/15,
50,Hamburger 8,795,5/21/15,
50,Hamburger 8,986,5/22/15,
50,Hamburger 8,1371,5/23/15,
50,Hamburger 8,9,5/25/15,
50,Hamburger 8,806,5/26/15,
50,Hamburger 8,530,5/27/15,
50,Hamburger 8,834,5/28/15,
50,Hamburger 8,1148,5/29/15,
50,Hamburger 8,1394,5/30/15,
50,Hamburger 8,745,6/2/15,
50,Hamburger 8,468,6/3/15,
50,Hamburger 8,705,6/4/15,
50,Hamburger 8,1012,6/5/15,
50,Hamburger 8,1380,6/6/15,
50,Hamburger 8,990,6/9/15,
50,Hamburger 8,571,6/10/15,
50,Hamburger 8,755,6/11/15,
50,Hamburger 8,993,6/12/15,
50,Hamburger 8,1703,6/13/15,
50,Hamburger 8,802,6/16/15,
50,Hamburger 8,698,6/17/15,
50,Hamburger 8,903,6/18/15,
50,Hamburger 8,1242,6/19/15,
50,Hamburger 8,1478,6/20/15,
50,Hamburger 8,1088,6/23/15,
50,Hamburger 8,629,6/24/15,
50,Hamburger 8,959,6/25/15,
50,Hamburger 8,1653,6/26/15,
50,Hamburger 8,1619,6/27/15,
50,Hamburger 8,15,6/28/15,
50,Hamburger 8,351,6/29/15,
50,Hamburger 8,1540,6/30/15,
50,Hamburger 8,55,7/1/15,
50,Hamburger 8,794,7/2/15,
50,Hamburger 8,1108,7/3/15,
50,Hamburger 8,1401,7/4/15,
50,Hamburger 8,1037,7/7/15,
50,Hamburger 8,604,7/8/15,
50,Hamburger 8,900,7/9/15,
50,Hamburger 8,1285,7/10/15,
50,Hamburger 8,1495,7/11/15,
50,Hamburger 8,999,7/14/15,
50,Hamburger 8,535,7/15/15,
50,Hamburger 8,979,7/16/15,
50,Hamburger 8,1174,7/17/15,
50,Hamburger 8,1427,7/18/15,
50,Hamburger 8,874,7/21/15,
50,Hamburger 8,622,7/22/15,
50,Hamburger 8,964,7/23/15,
50,Hamburger 8,1199,7/24/15,
