Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-76.60,44.22,KINGSTON CLIMATE,6104142,2014-01-01,2014,1,1,,-12.2,,-21.1,,-16.7,,34.7,,0.0,,,M,,M,0.2,,10,,4,,39,
-76.60,44.22,KINGSTON CLIMATE,6104142,2014-01-02,2014,1,2,,-21.0,,-23.7,,-22.4,,40.4,,0.0,,,M,,M,0.9,,22,,4,,52,
-76.60,44.22,KINGSTON CLIMATE,6104142,2014-01-03,2014,1,3,,-17.1,,-25.3,,-21.2,,39.2,,0.0,,,M,,M,0.0,,9,,2,,39,
-76.60,44.22,KINGSTON CLIMATE,6104142,2014-01-04,2014,1,4,,1.0,,-21.9,,-10.5,,28.5,,0.0,,,M,,M,0.0,,9,,18,,61,
-76.60,44.22,KINGSTON CLIMATE,6104142,2014-01-05,2014,1,5,,4.0,,-1.7,,1.2,,16.8,,0.0,,,M,,M,9.5,,9,,20,,39,
-76.60,44.22,KINGSTON CLIMATE,6104142,2014-01-06,2014,1,6,,7.1,,-12.9,,-2.9,,20.9,,0.0,,,M,,M,14.9,,7,,23,,82,
-76.60,44.22,KINGSTON CLIMATE,6104142,2014-01-07,2014,1,7,,-12.1,,-17.0,,-14.6,,32.6,,0.0,,,M,,M,0.2,,7,,25,,65,
-76.60,44.22,KINGSTON CLIMATE,6104142,2014-01-08,2014,1,8,,-7.8,,-13.4,,-10.6,,28.6,,0.0,,,M,,M,0.0,,7,,24,,44,
-76.60,44.22,KINGSTON CLIMATE,6104142,2014-01-09,2014,1,9,,-4.1,,-11.1,,-7.6,,25.6,,0.0,,,M,,M,0.0,,7,,,,<31,
-76.60,44.22,KINGSTON CLIMATE,6104142,2014-01-10,2014,1,10,,1.6,,-7.0,,-2.7,,20.7,,0.0,,,M,,M,0.4,,11,,20,,39,
-76.60,44.22,KINGSTON CLIMATE,6104142,2014-01-11,2014,1,11,,6.3,,0.1,,3.2,,14.8,,0.0,,,M,,M,20.1,,8,,20,,56,
