"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-01","2015","01","01","","-0.6","","-6.1","","-3.4","","21.4","","0.0","","","M","","M","0.2","","2","","24","","63",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-02","2015","01","02","","-0.5","","-13.6","","-7.1","","25.1","","0.0","","","M","","M","0.0","","3","","25","","50",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-03","2015","01","03","","2.3","","-14.8","","-6.3","","24.3","","0.0","","","M","","M","","M","3","","14","","39",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-04","2015","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-05","2015","01","05","","-2.9","","-13.5","","-8.2","","26.2","","0.0","","","M","","M","0.0","","2","","28","","61",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-06","2015","01","06","","-7.4","","-13.2","","-10.3","","28.3","","0.0","","","M","","M","1.5","","3","","25","","37",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-07","2015","01","07","","-7.6","","-24.2","","-15.9","","33.9","","0.0","","","M","","M","0.0","","4","","34","","52",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-08","2015","01","08","","-6.3","","-24.0","","-15.2","","33.2","","0.0","","","M","","M","0.2","","3","","22","","65",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-09","2015","01","09","","-5.2","","-11.9","","-8.6","","26.6","","0.0","","","M","","M","2.8","","10","","22","","67",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-10","2015","01","10","","-7.5","","-13.3","","-10.4","","28.4","","0.0","","","M","","M","0.6","","8","","24","","50",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-11","2015","01","11","","0.6","","-11.4","","-5.4","","23.4","","0.0","","","M","","M","0.0","","8","","20","","43",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-12","2015","01","12","","1.2","","-17.5","","-8.2","","26.2","","0.0","","","M","","M","2.1","","6","","35","","46",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-13","2015","01","13","","-14.1","","-24.6","","-19.4","","37.4","","0.0","","","M","","M","0.2","","6","","2","","43",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-14","2015","01","14","","-6.1","","-24.8","","-15.5","","33.5","","0.0","","","M","","M","","M","","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-15","2015","01","15","","-1.4","","-17.0","","-9.2","","27.2","","0.0","","","M","","M","0.0","","7","","25","","44",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-16","2015","01","16","","-4.2","E","-10.3","E","-7.3","E","25.3","E","0.0","E","","M","","M","0.0","E","6","","","M","","M"
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-17","2015","01","17","","-8.3","E","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-18","2015","01","18","","2.0","","-1.9","","0.1","","17.9","","0.0","","","M","","M","0.9","","6","","17","","59",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-19","2015","01","19","","1.8","","-12.0","","-5.1","","23.1","","0.0","","","M","","M","0.2","","7","","31","","33",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-20","2015","01","20","","-8.3","","-18.6","","-13.5","","31.5","","0.0","","","M","","M","0.2","","6","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-21","2015","01","21","","-7.5","","-17.6","","-12.6","","30.6","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-22","2015","01","22","","-5.9","","-15.8","","-10.9","","28.9","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-23","2015","01","23","","-1.1","","-6.0","","-3.6","","21.6","","0.0","","","M","","M","0.0","","6","","21","","52",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-24","2015","01","24","","-0.3","","-2.2","","-1.3","","19.3","","0.0","","","M","","M","0.0","","6","","25","","33",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-25","2015","01","25","","-0.4","","-15.7","","-8.1","","26.1","","0.0","","","M","","M","0.0","","7","","29","","44",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-26","2015","01","26","","-11.3","","-17.6","","-14.5","","32.5","","0.0","","","M","","M","0.0","","7","","1","","44",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-27","2015","01","27","","-9.4","","-15.2","","-12.3","","30.3","","0.0","","","M","","M","0.0","","6","","4","","54",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-28","2015","01","28","","-3.3","","-18.0","","-10.7","","28.7","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-29","2015","01","29","","-0.5","","-17.0","","-8.8","","26.8","","0.0","","","M","","M","1.8","","6","","19","","65",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-30","2015","01","30","","-0.7","","-19.1","","-9.9","","27.9","","0.0","","","M","","M","0.7","","9","","33","","52",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-01-31","2015","01","31","","-5.5","","-24.1","","-14.8","","32.8","","0.0","","","M","","M","0.2","","12","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-02-01","2015","02","01","","-5.5","","-18.1","","-11.8","","29.8","","0.0","","","M","","M","0.0","","12","","3","","43",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-02-02","2015","02","02","","-14.5","","-22.0","","-18.3","","36.3","","0.0","","","M","","M","2.2","","8","","1","","61",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-02-03","2015","02","03","","-4.9","","-24.9","","-14.9","","32.9","","0.0","","","M","","M","0.2","","6","","23","","46",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-02-04","2015","02","04","","-0.4","","-7.7","","-4.1","","22.1","","0.0","","","M","","M","5.0","","7","","21","","44",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-02-05","2015","02","05","","-7.7","","-21.6","","-14.7","","32.7","","0.0","","","M","","M","0.0","","8","","36","","35",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-02-06","2015","02","06","","-4.1","","-21.0","","-12.6","","30.6","","0.0","","","M","","M","0.2","","10","","28","","41",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2015-02-07","2015","02","07","","-4.7","","-13.2","","-9.0","","27.0","","0.0","","","M","","M","4.6","","17","","3","","44",""
