date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2020-06-15,24.7,16.69,16.39,8.1,,,78,52,54,30,8.8,6.1,6.6,4.4,28,13.33,14.5,1,33,20,103.3,103.03,103,102.7,102.4,102.11,102.11,101.81,48300,40570.8,36200,24100,,,,,1.6,0,11.4,9.4,6.4,0,,,,04:50:00,20:41:00,15.85,4.83,20.68,8,9,23,23,7,8,,,,,,8,3.9,4,0,,,,
2020-06-14,20.2,14,13.64,7.1,,,71,50.9,49,27,5.5,3.4,2.9,0.3,29,13.58,17,5,35,9,103.4,103.18,103.15,102.9,102.44,102.25,102.22,102,48300,42250,36200,24100,,,,,4.4,0,8.6,6.6,3.6,0,,,,04:50:00,20:41:00,15.85,4.83,20.68,8,8,20,20,7,8,,,,,,8,3.5,4.5,1,,,,
2020-06-13,16.6,11.62,12.2,7.8,,,88,67.5,67.5,47,7.8,5.6,5.7,3.6,13,6.96,7.5,2,,,102.9,102.31,102.35,101.8,101.96,101.37,101.4,100.85,48300,41575,36200,24100,,,,,5.8,0,7.2,5.2,2.2,0,,,,04:50:00,20:40:00,15.83,4.83,20.67,7,7,17,17,6,6,,,,,,8,6.3,5,2,,,,
2020-06-12,23.3,15.85,15.55,7.8,25,,92,61.5,66,40,13.8,8.1,8.4,3,44,18.79,23.5,3,58,25,101.8,101.37,101.4,101,100.84,100.46,100.48,100.12,48300,40233.3,36200,24100,,,,,2.5,0,10.6,8.6,5.5,0,,,,04:50:00,20:40:00,15.83,4.83,20.67,6,7,23,23,8,8,,,,,,8,4.5,4,0,,,,
2020-06-11,26.5,18.64,19.3,12.1,33,,97,72.8,72,47,20.1,13.2,14.6,9.1,35,22.04,20.5,6,48,24,101.5,100.98,101.1,100.7,100.58,100.08,100.19,99.79,48300,26145.8,27350,6400,,,,,0,1.3,14.3,12.3,9.3,9.4,,,,04:50:00,20:39:00,15.82,4.83,20.65,8,10,23,23,15,15,,,,,,8,5.6,4.5,1,,,,
2020-06-10,22.5,16.19,15.05,7.6,,,79,57.7,60.5,42,10.8,7.7,6.6,2.4,27,17.21,17.5,8,35,8,101.9,101.59,101.6,101.3,100.96,100.67,100.67,100.37,48300,39895.8,36200,24100,,,,,3,0,10.1,8.1,5,0,,,,04:51:00,20:38:00,15.78,4.85,20.63,8,9,24,24,19,19,,,,,,8,5.6,4,0,,,,
2020-06-09,23.4,16.95,15.8,8.2,,,91,45.4,60,29,7.5,4.5,4.2,0.9,16,8.08,9,2,29,21,101.7,101.32,101.45,101.2,100.78,100.42,100.53,100.29,48300,38883.3,36200,24100,,,,,2.2,0,10.8,8.8,5.8,0,,,,04:51:00,20:38:00,15.78,4.85,20.63,9,10,23,23,11,11,,,,,,8,4.9,4,0,,,,
2020-06-08,22.1,15.96,15.95,9.8,,,69,46.5,47,25,5.8,4,3.4,1,18,9.17,11,4,34,34,101.5,101.33,101.35,101.2,100.6,100.42,100.46,100.32,48300,36866.7,36200,24100,,,,,2,0,10.9,8.9,6,0,,,,04:51:00,20:37:00,15.77,4.85,20.62,8,9,23,23,10,10,,,,,,8,5.5,4.5,1,,,,
2020-06-07,19,13.71,13.85,8.7,,,99,69.1,75,51,9.4,7.7,6.8,4.3,15,6.17,8,1,,,101.4,101.32,101.3,101.19,100.5,100.41,100.4,100.31,48300,38130.4,36200,24100,,,,,4.2,0,8.8,6.8,3.8,0,,,,04:52:00,20:36:00,15.73,4.87,20.6,8,9,20,20,8,8,,,,,,8,5.9,4.5,1,,,,
2020-06-06,18.6,13.23,13.9,9.2,,,98,84.2,82.5,67,13.1,10.6,10.9,8.7,28,17.5,14.5,1,31,7,101.2,100.87,100.95,100.7,100.3,99.95,100.03,99.77,32200,22141.7,18100,4000,,,,,4.1,0,8.9,6.9,3.9,7.6,,,,04:52:00,20:36:00,15.73,4.87,20.6,3,3,17,18,10,10,,,,,,8,7.5,5.5,3,,,,
